19:12:00.713551 config: drop-rate=0.00, max-delay=0s, seed=1574467920713298000
20:16:01.139157 [queue=6] packet #7, 127.0.0.1:55059 -> 127.0.0.1:65440, sz=10 is delivered
20:16:01.139810 [queue=7] packet #7, 127.0.0.1:65440 -> 127.0.0.1:55059, sz=0 is delayed for 93ms
20:16:01.143086 [queue=6] packet #5, 127.0.0.1:65440 -> 127.0.0.1:55059, sz=0 is delivered
20:16:01.157644 [queue=5] packet #3, 127.0.0.1:65440 -> 127.0.0.1:55059, sz=0 is delivered
20:16:01.162598 [queue=4] packet #4, 127.0.0.1:55059 -> 127.0.0.1:65440, sz=10 is delivered
20:16:01.164122 [queue=4] packet #4, 127.0.0.1:65440 -> 127.0.0.1:55059, sz=0 is dropped
20:16:01.179948 [queue=3] packet #8, 127.0.0.1:65440 -> 127.0.0.1:55059, sz=0 is delivered
20:16:01.226151 [queue=2] packet #10, 127.0.0.1:65440 -> 127.0.0.1:55059, sz=0 is delivered
20:16:01.231886 [queue=1] packet #12, 127.0.0.1:65440 -> 127.0.0.1:55059, sz=0 is delivered
20:16:01.234932 [queue=0] packet #7, 127.0.0.1:65440 -> 127.0.0.1:55059, sz=0 is delivered
20:16:01.341927 [queue=1] packet #13, 127.0.0.1:55059 -> 127.0.0.1:65440, sz=10 is delayed for 87ms
20:16:01.432560 [queue=0] packet #13, 127.0.0.1:55059 -> 127.0.0.1:65440, sz=10 is delivered
20:16:01.434709 [queue=1] packet #13, 127.0.0.1:65440 -> 127.0.0.1:55059, sz=0 is delayed for 20ms
20:16:01.458079 [queue=0] packet #13, 127.0.0.1:65440 -> 127.0.0.1:55059, sz=0 is delivered
20:16:44.480811 config: drop-rate=0.20, max-delay=100ms, seed=2387230234324
20:16:44.481056 router is listening at :3000
20:31:24.103808 [queue=1] packet #1, 127.0.0.1:57032 -> 127.0.0.1:8080, sz=11 is delayed for 44ms
20:31:24.151909 [queue=0] packet #1, 127.0.0.1:57032 -> 127.0.0.1:8080, sz=11 is delivered
20:31:24.152280 [queue=1] packet #1, 127.0.0.1:8080 -> 127.0.0.1:57032, sz=11 is delayed for 63ms
20:31:24.215938 [queue=0] packet #1, 127.0.0.1:8080 -> 127.0.0.1:57032, sz=11 is delivered
20:31:49.035435 config: drop-rate=0.20, max-delay=100ms, seed=2387230234324
20:31:49.035711 router is listening at :3000
20:31:56.040672 [queue=1] packet #1, 127.0.0.1:60729 -> 127.0.0.1:8080, sz=11 is delayed for 44ms
20:31:56.086726 [queue=0] packet #1, 127.0.0.1:60729 -> 127.0.0.1:8080, sz=11 is delivered
20:31:56.087270 [queue=1] packet #1, 127.0.0.1:8080 -> 127.0.0.1:60729, sz=11 is delayed for 63ms
20:31:56.155452 [queue=0] packet #1, 127.0.0.1:8080 -> 127.0.0.1:60729, sz=11 is delivered
21:04:54.752328 [queue=1] packet #1, 127.0.0.1:49837 -> 127.0.0.1:8080, sz=11 is delayed for 14ms
21:04:54.768067 [queue=0] packet #1, 127.0.0.1:49837 -> 127.0.0.1:8080, sz=11 is delivered
